epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4969135820865631,2.6009504795074463,0.001,0.45412489771842957,2.422793388366699
1,0.5545910596847534,1.8864623308181763,0.001,0.521202802658081,1.7452186346054077
2,0.5808256268501282,1.542962670326233,0.001,0.27679258584976196,3.612701177597046
3,0.5968364477157593,1.4002655744552612,0.001,0.40400925278663635,2.015077590942383
4,0.6219135522842407,1.269849419593811,0.001,0.6029298305511475,1.3138718605041504
5,0.6292438507080078,1.2074943780899048,0.001,0.5019275546073914,1.7037065029144287
6,0.6228780746459961,1.1979663372039795,0.001,0.5435620546340942,1.3688569068908691
7,0.6583719253540039,1.1140336990356445,0.001,0.5990747809410095,1.2823774814605713
8,0.6585648059844971,1.0997511148452759,0.001,0.41557440161705017,1.845874547958374
9,0.6755401492118835,1.0514637231826782,0.001,0.6075559258460999,1.2356297969818115
10,0.6819058656692505,1.024864673614502,0.001,0.5358519554138184,1.4794312715530396
11,0.6709104776382446,1.0316798686981201,0.001,0.5512721538543701,1.271470308303833
12,0.6859567761421204,1.0078728199005127,0.001,0.5574402213096619,1.396637201309204
13,0.6923225522041321,0.9702226519584656,0.001,0.6507324576377869,1.0501219034194946
14,0.6905864477157593,0.9615236520767212,0.001,0.5420200228691101,1.2690619230270386
15,0.7033178806304932,0.9402655959129333,0.001,0.6252891421318054,1.0552672147750854
16,0.7006173133850098,0.933362603187561,0.001,0.624518096446991,1.0557993650436401
17,0.7046682238578796,0.9253016114234924,0.001,0.6414803266525269,1.0555363893508911
18,0.7181712985038757,0.9086472392082214,0.001,0.599845826625824,1.1768068075180054
19,0.7156635522842407,0.9009549021720886,0.001,0.5512721538543701,1.3622783422470093
20,0.7166280746459961,0.8777839541435242,0.001,0.6761757731437683,0.9828671216964722
21,0.7233796119689941,0.8652989864349365,0.001,0.5828835964202881,1.2648717164993286
22,0.732446014881134,0.8501648306846619,0.001,0.6592135429382324,1.0556401014328003
23,0.7351465821266174,0.8416553735733032,0.001,0.6268311738967896,1.1062021255493164
24,0.7305169701576233,0.8359589576721191,0.001,0.6846569180488586,0.9797953367233276
25,0.7334104776382446,0.8268367648124695,0.001,0.5890516638755798,1.287225365638733
26,0.7301311492919922,0.833672821521759,0.001,0.643022358417511,0.9929141998291016
27,0.7370756268501282,0.8200185298919678,0.001,0.6638396382331848,1.1234159469604492
28,0.7405478358268738,0.8178102374076843,0.001,0.6407093405723572,1.053598165512085
29,0.7482638955116272,0.7913992404937744,0.001,0.5728604197502136,1.2227627038955688
30,0.7444058656692505,0.7907469868659973,0.001,0.6823439002037048,0.9927893877029419
31,0.7492284178733826,0.7933313846588135,0.001,0.7378565669059753,0.8311201930046082
32,0.7584876418113708,0.7773379683494568,0.001,0.4919044077396393,1.6156244277954102
33,0.7554012537002563,0.7791517376899719,0.001,0.6915959715843201,0.9985412955284119
34,0.7650462985038757,0.7528972625732422,0.001,0.7108712196350098,0.8674522638320923
35,0.763696014881134,0.7695832252502441,0.001,0.6800308227539062,0.981271505355835
36,0.7746913433074951,0.7286046743392944,0.001,0.5690053701400757,1.4867043495178223
37,0.7683256268501282,0.7350336909294128,0.001,0.6777178049087524,1.044277310371399
38,0.7727623581886292,0.7272610664367676,0.001,0.5944487452507019,1.3240642547607422
39,0.7677469253540039,0.7348608374595642,0.001,0.6892829537391663,0.8760173916816711
40,0.8067129850387573,0.6466922760009766,0.000100000005,0.7756360769271851,0.7237764000892639
41,0.8217592835426331,0.6112505793571472,0.000100000005,0.7864302396774292,0.7051642537117004
42,0.8234953880310059,0.596249520778656,0.000100000005,0.7586738467216492,0.7652602791786194
43,0.8302469253540039,0.5730425715446472,0.000100000005,0.7740940451622009,0.7027641534805298
44,0.8269675970077515,0.5817240476608276,0.000100000005,0.7779490947723389,0.7104246020317078
45,0.830053985118866,0.5652201771736145,0.000100000005,0.779491126537323,0.6919175982475281
46,0.836998462677002,0.5496523976325989,0.000100000005,0.7764071226119995,0.6970404386520386
47,0.8267747163772583,0.5550819039344788,0.000100000005,0.7625288963317871,0.7479323744773865
48,0.8406635522842407,0.5544145703315735,0.000100000005,0.7710100412368774,0.7435279488563538
49,0.8503086566925049,0.5313751101493835,0.000100000005,0.7902852892875671,0.6874145865440369
50,0.8385416865348816,0.539619505405426,0.000100000005,0.7686969637870789,0.7551748156547546
51,0.8420138955116272,0.5383965373039246,0.000100000005,0.7941403388977051,0.7144080400466919
52,0.8451002836227417,0.5265843868255615,0.000100000005,0.7740940451622009,0.7005348801612854
53,0.8398919701576233,0.5356375575065613,0.000100000005,0.7902852892875671,0.7043723464012146
54,0.8476080298423767,0.5162637829780579,0.000100000005,0.7733230590820312,0.7572225332260132
55,0.8470293283462524,0.5208560228347778,0.000100000005,0.7787201404571533,0.7377315759658813
56,0.8522376418113708,0.5127062797546387,0.000100000005,0.7941403388977051,0.6781075596809387
57,0.8524305820465088,0.5076621174812317,0.000100000005,0.7818041443824768,0.701239824295044
58,0.8551311492919922,0.5034918785095215,0.000100000005,0.7733230590820312,0.7597996592521667
59,0.845678985118866,0.5164263248443604,0.000100000005,0.792598307132721,0.6981322169303894
60,0.8497299551963806,0.5051851868629456,0.000100000005,0.7941403388977051,0.707439661026001
61,0.8520447611808777,0.5029134154319763,0.000100000005,0.7879722714424133,0.7255378365516663
62,0.8582175970077515,0.4976541996002197,0.000100000005,0.7841172218322754,0.7116131782531738
63,0.8591821193695068,0.4924662113189697,0.000100000005,0.7856591939926147,0.724024772644043
64,0.8586034178733826,0.4883453845977783,0.000100000005,0.7725520133972168,0.7152459621429443
65,0.8645833134651184,0.4720783829689026,1.0000001e-05,0.7841172218322754,0.6943885087966919
66,0.8645833134651184,0.470672607421875,1.0000001e-05,0.7841172218322754,0.693385124206543
